,Measure,Capec Id,MiniLM,ATTACK,GPT,Mpnet,Multilingual,Jaccard
0,T1561,Impact,0.48,0.45,0.85,0.48,0.62,0.16
0,T1561.001,Impact,0.46,0.46,0.84,0.47,0.55,0.14
0,T1561.002,Impact,0.44,0.45,0.84,0.49,0.55,0.12
0,T1482,Discovery,0.41,0.37,0.82,0.47,0.54,0.1
0,T1484,Defense Evasion,0.46,0.18,0.82,0.25,0.46,0.06
0,T1484,Privilege Escalation,0.53,0.51,0.84,0.4,0.56,0.11
0,T1484.001,Defense Evasion,0.43,0.11,0.78,0.25,0.29,0.06
0,T1484.001,Privilege Escalation,0.59,0.59,0.82,0.4,0.49,0.11
0,T1484.002,Defense Evasion,0.4,0.22,0.8,0.21,0.37,0.09
0,T1484.002,Privilege Escalation,0.42,0.42,0.82,0.34,0.49,0.09
0,T1189,Initial Access,0.5,0.39,0.85,0.41,0.62,0.09
0,T1568,Command and Control,0.63,0.67,0.88,0.7,0.65,0.15
0,T1568.003,Command and Control,0.32,0.52,0.8,0.56,0.49,0.14
0,T1568.002,Command and Control,0.45,0.53,0.82,0.55,0.49,0.11
0,T1568.001,Command and Control,0.27,0.48,0.76,0.42,0.43,0.1
0,T1114,Collection,0.51,0.48,0.87,0.42,0.64,0.1
0,T1114.003,Collection,0.34,0.21,0.8,0.31,0.54,0.09
0,T1114.001,Collection,0.34,0.48,0.77,0.3,0.42,0.1
0,T1114.002,Collection,0.44,0.37,0.85,0.3,0.64,0.09
0,T1573,Command and Control,0.63,0.45,0.87,0.57,0.58,0.18
0,T1573.002,Command and Control,0.44,0.42,0.81,0.45,0.48,0.15
0,T1573.001,Command and Control,0.47,0.4,0.85,0.46,0.49,0.14
0,T1499,Impact,0.56,0.49,0.83,0.51,0.68,0.1
0,T1499.003,Impact,0.5,0.47,0.83,0.49,0.55,0.12
0,T1499.004,Impact,0.54,0.5,0.84,0.43,0.57,0.13
0,T1499.001,Impact,0.35,0.36,0.79,0.4,0.59,0.09
0,T1499.002,Impact,0.52,0.48,0.83,0.46,0.62,0.14
0,T1611,Privilege Escalation,0.5,0.38,0.85,0.4,0.48,0.11
0,T1585,Resource Development,0.47,0.5,0.84,0.55,0.59,0.17
0,T1585.003,Resource Development,0.44,0.41,0.84,0.49,0.5,0.17
0,T1585.002,Resource Development,0.53,0.5,0.84,0.55,0.52,0.15
0,T1585.001,Resource Development,0.48,0.48,0.84,0.47,0.5,0.21
0,T1546,Persistence,0.52,0.58,0.87,0.6,0.63,0.12
0,T1546,Privilege Escalation,0.65,0.76,0.89,0.59,0.6,0.16
0,T1546.008,Persistence,0.38,0.47,0.8,0.42,0.63,0.08
0,T1546.008,Privilege Escalation,0.53,0.56,0.82,0.49,0.59,0.13
0,T1546.009,Persistence,0.45,0.53,0.8,0.51,0.51,0.08
0,T1546.009,Privilege Escalation,0.52,0.69,0.82,0.53,0.45,0.1
0,T1546.010,Persistence,0.44,0.52,0.79,0.51,0.53,0.08
0,T1546.010,Privilege Escalation,0.53,0.7,0.8,0.52,0.48,0.12
0,T1546.011,Persistence,0.4,0.5,0.79,0.49,0.53,0.08
0,T1546.011,Privilege Escalation,0.42,0.66,0.8,0.48,0.43,0.1
0,T1546.001,Persistence,0.42,0.52,0.8,0.49,0.47,0.09
0,T1546.001,Privilege Escalation,0.41,0.31,0.78,0.45,0.25,0.13
0,T1546.015,Persistence,0.6,0.75,0.85,0.61,0.66,0.14
0,T1546.015,Privilege Escalation,0.42,0.39,0.82,0.47,0.35,0.13
0,T1546.014,Persistence,0.47,0.58,0.76,0.5,0.41,0.1
0,T1546.014,Privilege Escalation,0.56,0.75,0.78,0.52,0.57,0.14
0,T1546.012,Persistence,0.37,0.42,0.78,0.44,0.41,0.06
0,T1546.012,Privilege Escalation,0.45,0.54,0.8,0.47,0.38,0.09
0,T1546.016,Persistence,0.41,0.39,0.8,0.41,0.55,0.09
0,T1546.016,Privilege Escalation,0.64,0.66,0.82,0.51,0.55,0.14
0,T1546.006,Persistence,0.48,0.59,0.79,0.45,0.5,0.1
0,T1546.006,Privilege Escalation,0.35,0.32,0.77,0.3,0.28,0.12
0,T1546.007,Persistence,0.49,0.71,0.8,0.67,0.48,0.13
0,T1546.007,Privilege Escalation,0.38,0.36,0.78,0.49,0.39,0.13
0,T1546.013,Persistence,0.51,0.65,0.82,0.45,0.37,0.11
0,T1546.013,Privilege Escalation,0.57,0.68,0.85,0.44,0.5,0.14
0,T1546.002,Persistence,0.48,0.62,0.81,0.48,0.53,0.1
0,T1546.002,Privilege Escalation,0.27,0.19,0.77,0.25,0.22,0.13
0,T1546.005,Persistence,0.49,0.6,0.83,0.55,0.64,0.11
0,T1546.005,Privilege Escalation,0.34,0.28,0.81,0.41,0.36,0.12
0,T1546.017,Persistence,0.47,0.61,0.8,0.51,0.61,0.1
0,T1546.017,Privilege Escalation,0.43,0.32,0.8,0.39,0.41,0.12
0,T1546.004,Persistence,0.56,0.74,0.83,0.62,0.6,0.08
0,T1546.004,Privilege Escalation,0.52,0.41,0.81,0.48,0.36,0.12
0,T1546.003,Persistence,0.41,0.58,0.81,0.51,0.54,0.1
0,T1546.003,Privilege Escalation,0.48,0.71,0.82,0.5,0.5,0.14
0,T1480,Defense Evasion,0.59,0.65,0.84,0.61,0.5,0.1
0,T1480.001,Defense Evasion,0.59,0.53,0.82,0.5,0.58,0.08
0,T1480.002,Defense Evasion,0.38,0.24,0.8,0.44,0.45,0.06
0,T1048,Exfiltration,0.56,0.68,0.89,0.48,0.75,0.16
0,T1048.002,Exfiltration,0.53,0.63,0.88,0.49,0.68,0.21
0,T1048.001,Exfiltration,0.59,0.66,0.89,0.51,0.71,0.22
0,T1048.003,Exfiltration,0.59,0.63,0.91,0.53,0.74,0.24
0,T1041,Exfiltration,0.62,0.76,0.92,0.62,0.73,0.18
0,T1011,Exfiltration,0.68,0.82,0.91,0.68,0.78,0.19
0,T1011.001,Exfiltration,0.47,0.61,0.88,0.5,0.59,0.2
0,T1052,Exfiltration,0.67,0.68,0.91,0.59,0.75,0.11
0,T1052.001,Exfiltration,0.62,0.55,0.89,0.54,0.67,0.12
0,T1567,Exfiltration,0.64,0.77,0.9,0.56,0.67,0.16
0,T1567.004,Exfiltration,0.4,0.59,0.84,0.38,0.47,0.14
0,T1567.002,Exfiltration,0.55,0.72,0.9,0.57,0.62,0.21
0,T1567.001,Exfiltration,0.56,0.71,0.89,0.58,0.66,0.22
0,T1567.003,Exfiltration,0.52,0.67,0.84,0.44,0.58,0.16
0,T1190,Initial Access,0.45,0.46,0.87,0.39,0.64,0.1
0,T1203,Execution,0.6,0.54,0.87,0.61,0.7,0.13
0,T1212,Credential Access,0.64,0.72,0.89,0.64,0.67,0.1
0,T1211,Defense Evasion,0.66,0.62,0.88,0.54,0.63,0.13
0,T1068,Privilege Escalation,0.81,0.74,0.89,0.66,0.76,0.16
0,T1210,Lateral Movement,0.61,0.41,0.87,0.57,0.66,0.15
0,T1133,Initial Access,0.44,0.41,0.85,0.36,0.57,0.15
0,T1133,Persistence,0.37,0.34,0.82,0.37,0.49,0.11
0,T1008,Command and Control,0.51,0.59,0.88,0.52,0.62,0.17
0,T1083,Discovery,0.5,0.37,0.87,0.6,0.61,0.11
0,T1222,Defense Evasion,0.48,0.14,0.82,0.35,0.35,0.07
0,T1222.002,Defense Evasion,0.4,0.17,0.81,0.34,0.35,0.07
0,T1222.001,Defense Evasion,0.37,0.14,0.79,0.35,0.35,0.07
0,T1657,Impact,0.55,0.35,0.88,0.54,0.57,0.12
0,T1495,Impact,0.53,0.38,0.82,0.36,0.41,0.15
0,T1187,Credential Access,0.53,0.76,0.85,0.61,0.57,0.08
0,T1606,Credential Access,0.64,0.63,0.87,0.5,0.64,0.08
0,T1606.002,Credential Access,0.34,0.29,0.78,0.21,0.27,0.09
0,T1606.001,Credential Access,0.5,0.38,0.83,0.26,0.47,0.08
0,T1592,Reconnaissance,0.6,0.69,0.86,0.59,0.61,0.14
0,T1592.004,Reconnaissance,0.66,0.66,0.87,0.62,0.59,0.16
0,T1592.003,Reconnaissance,0.61,0.47,0.85,0.51,0.55,0.18
0,T1592.001,Reconnaissance,0.63,0.55,0.87,0.59,0.61,0.16
0,T1592.002,Reconnaissance,0.65,0.54,0.87,0.57,0.6,0.16
0,T1589,Reconnaissance,0.48,0.58,0.86,0.56,0.62,0.15
0,T1589.001,Reconnaissance,0.45,0.32,0.86,0.41,0.57,0.14
0,T1589.002,Reconnaissance,0.4,0.48,0.84,0.4,0.51,0.15
0,T1589.003,Reconnaissance,0.5,0.59,0.85,0.47,0.55,0.18
0,T1590,Reconnaissance,0.64,0.61,0.88,0.66,0.68,0.2
0,T1590.002,Reconnaissance,0.54,0.55,0.83,0.46,0.5,0.16
0,T1590.001,Reconnaissance,0.48,0.55,0.85,0.51,0.61,0.15
0,T1590.005,Reconnaissance,0.62,0.57,0.84,0.61,0.52,0.2
0,T1590.006,Reconnaissance,0.65,0.62,0.86,0.66,0.66,0.2
0,T1590.004,Reconnaissance,0.64,0.55,0.87,0.6,0.65,0.18
